x               y               z               Bmag            
    -6.14966    -9.93589    -3.03884     7.47472
    -6.14856    -9.93465    -3.03897     7.47897
    -6.14746    -9.93341    -3.03910     7.48324
    -6.14636    -9.93216    -3.03923     7.48750
    -6.14526    -9.93092    -3.03937     7.49177
    -6.14416    -9.92967    -3.03950     7.49605
    -6.14306    -9.92843    -3.03964     7.50033
    -6.14196    -9.92718    -3.03977     7.50462
    -6.14086    -9.92594    -3.03991     7.50891
    -6.13976    -9.92470    -3.04004     7.51320
    -6.13866    -9.92345    -3.04018     7.51750
    -6.13755    -9.92221    -3.04031     7.52181
    -6.13645    -9.92096    -3.04045     7.52612
    -6.13535    -9.91972    -3.04059     7.53043
    -6.13425    -9.91848    -3.04073     7.53475
    -6.13315    -9.91723    -3.04086     7.53907
    -6.13205    -9.91599    -3.04100     7.54340
    -6.13095    -9.91475    -3.04114     7.54773
    -6.12985    -9.91350    -3.04128     7.55207
    -6.12875    -9.91226    -3.04142     7.55641
    -6.12765    -9.91102    -3.04156     7.56076
    -6.12655    -9.90977    -3.04170     7.56511
    -6.12545    -9.90853    -3.04184     7.56946
    -6.12435    -9.90729    -3.04198     7.57383
    -6.12324    -9.90604    -3.04213     7.57819
    -6.12214    -9.90480    -3.04227     7.58256
    -6.12104    -9.90356    -3.04241     7.58693
    -6.11994    -9.90231    -3.04256     7.59131
    -6.11884    -9.90107    -3.04270     7.59570
    -6.11774    -9.89983    -3.04284     7.60009
    -6.11664    -9.89858    -3.04299     7.60448
    -6.11554    -9.89734    -3.04313     7.60888
    -6.11444    -9.89610    -3.04328     7.61328
    -6.11334    -9.89485    -3.04342     7.61769
    -6.11224    -9.89361    -3.04357     7.62210
    -6.11114    -9.89237    -3.04372     7.62651
    -6.11003    -9.89113    -3.04386     7.63094
    -6.10893    -9.88988    -3.04401     7.63536
    -6.10783    -9.88864    -3.04416     7.63979
    -6.10673    -9.88740    -3.04431     7.64423
    -6.10563    -9.88616    -3.04446     7.64867
    -6.10453    -9.88491    -3.04460     7.65311
    -6.10343    -9.88367    -3.04475     7.65756
    -6.10233    -9.88243    -3.04490     7.66201
    -6.10123    -9.88119    -3.04505     7.66647
    -6.10013    -9.87994    -3.04520     7.67094
    -6.09903    -9.87870    -3.04536     7.67540
    -6.09793    -9.87746    -3.04551     7.67988
    -6.09682    -9.87622    -3.04566     7.68435
    -6.09572    -9.87498    -3.04581     7.68883
    -6.09462    -9.87373    -3.04596     7.69332
    -6.09352    -9.87249    -3.04612     7.69781
    -6.09242    -9.87125    -3.04627     7.70231
    -6.09132    -9.87001    -3.04643     7.70681
    -6.09022    -9.86877    -3.04658     7.71131
    -6.08912    -9.86752    -3.04673     7.71582
    -6.08802    -9.86628    -3.04689     7.72034
    -6.08692    -9.86504    -3.04705     7.72486
    -6.08582    -9.86380    -3.04720     7.72938
    -6.08472    -9.86256    -3.04736     7.73391
    -6.08361    -9.86132    -3.04751     7.73844
    -6.08251    -9.86007    -3.04767     7.74298
    -6.08141    -9.85883    -3.04783     7.74752
    -6.08031    -9.85759    -3.04799     7.75207
    -6.07921    -9.85635    -3.04815     7.75662
    -6.07811    -9.85511    -3.04831     7.76117
    -6.07701    -9.85387    -3.04846     7.76573
    -6.07591    -9.85263    -3.04862     7.77030
    -6.07481    -9.85139    -3.04878     7.77487
    -6.07371    -9.85014    -3.04894     7.77945
    -6.07261    -9.84890    -3.04911     7.78402
    -6.07151    -9.84766    -3.04927     7.78861
    -6.07041    -9.84642    -3.04943     7.79320
    -6.06930    -9.84518    -3.04959     7.79779
    -6.06820    -9.84394    -3.04975     7.80239
    -6.06710    -9.84270    -3.04992     7.80699
    -6.06600    -9.84146    -3.05008     7.81160
    -6.06490    -9.84022    -3.05024     7.81621
    -6.06380    -9.83898    -3.05041     7.82083
    -6.06270    -9.83774    -3.05057     7.82545
    -6.06160    -9.83650    -3.05074     7.83007
    -6.06050    -9.83525    -3.05090     7.83471
    -6.05940    -9.83401    -3.05107     7.83934
    -6.05830    -9.83277    -3.05123     7.84398
    -6.05720    -9.83153    -3.05140     7.84862
    -6.05610    -9.83029    -3.05157     7.85327
    -6.05499    -9.82905    -3.05173     7.85793
    -6.05389    -9.82781    -3.05190     7.86259
    -6.05279    -9.82657    -3.05207     7.86725
    -6.05169    -9.82533    -3.05224     7.87192
    -6.05059    -9.82409    -3.05241     7.87659
    -6.04949    -9.82285    -3.05258     7.88127
    -6.04839    -9.82161    -3.05275     7.88595
    -6.04729    -9.82037    -3.05292     7.89064
    -6.04619    -9.81913    -3.05309     7.89533
    -6.04509    -9.81789    -3.05326     7.90002
    -6.04399    -9.81665    -3.05343     7.90472
    -6.04289    -9.81541    -3.05360     7.90943
    -6.04179    -9.81417    -3.05377     7.91414
    -6.04069    -9.81293    -3.05394     7.91885
    -6.03959    -9.81169    -3.05412     7.92357
    -6.03848    -9.81046    -3.05429     7.92829
    -6.03738    -9.80922    -3.05446     7.93302
    -6.03628    -9.80798    -3.05464     7.93775
    -6.03518    -9.80674    -3.05481     7.94249
    -6.03408    -9.80550    -3.05499     7.94723
    -6.03298    -9.80426    -3.05516     7.95198
    -6.03188    -9.80302    -3.05534     7.95673
    -6.03078    -9.80178    -3.05551     7.96149
    -6.02968    -9.80054    -3.05569     7.96625
    -6.02858    -9.79930    -3.05586     7.97101
    -6.02748    -9.79806    -3.05604     7.97578
    -6.02638    -9.79682    -3.05622     7.98056
    -6.02528    -9.79558    -3.05640     7.98534
    -6.02418    -9.79435    -3.05657     7.99012
    -6.02308    -9.79311    -3.05675     7.99491
    -6.02198    -9.79187    -3.05693     7.99970
    -6.02088    -9.79063    -3.05711     8.00450
    -6.01977    -9.78939    -3.05729     8.00930
    -6.01867    -9.78815    -3.05747     8.01411
    -6.01757    -9.78691    -3.05765     8.01892
    -6.01647    -9.78567    -3.05783     8.02374
    -6.01537    -9.78444    -3.05801     8.02856
    -6.01427    -9.78320    -3.05819     8.03339
    -6.01317    -9.78196    -3.05838     8.03822
    -6.01207    -9.78072    -3.05856     8.04305
    -6.01097    -9.77948    -3.05874     8.04789
    -6.00987    -9.77824    -3.05892     8.05273
    -6.00877    -9.77701    -3.05911     8.05758
    -6.00767    -9.77577    -3.05929     8.06244
    -6.00657    -9.77453    -3.05948     8.06730
    -6.00547    -9.77329    -3.05966     8.07216
    -6.00437    -9.77205    -3.05984     8.07703
    -6.00327    -9.77082    -3.06003     8.08190
    -6.00217    -9.76958    -3.06022     8.08677
    -6.00107    -9.76834    -3.06040     8.09166
    -5.99997    -9.76710    -3.06059     8.09654
    -5.99887    -9.76586    -3.06078     8.10143
    -5.99777    -9.76463    -3.06096     8.10633
    -5.99667    -9.76339    -3.06115     8.11123
    -5.99557    -9.76215    -3.06134     8.11613
